Pusat/Daerah,Provinsi,Tipe Instansi,Nama Instansi,Akun SPLP,Akun Nasional,Domain
Instansi Pusat,Kementerian,Kementerian,Kementerian Luar Negeri,ada,pustikkp_kemlu,kemlu.go.id
Instansi Pusat,Kementerian,Kementerian,Kementerian Dalam Negeri,ada,kemendagri_splp,kemendagri.go.id
Instansi Pusat,Kementerian,Kementerian,Kementerian Pertahanan,ada,kemenhan_splp,kemenhan.go.id
Instansi Pusat,Kementerian,Kementerian,Kementerian Agama,ada,kemenag_splp,kemenag.go.id
Instansi Pusat,Kementerian,Kementerian,Kementerian Hukum dan HAM,ada,kemenkumham_splp,kemenkumham.go.id
Instansi Pusat,Kementerian,Kementerian,Kementerian Keuangan,ada,kemenkeu_splp,kemenkeu.go.id
Instansi Pusat,Kementerian,Kementerian,Kementerian Pendidikan Kebudayaan Riset dan Teknologi,ada,pusdatin_kemdikbud,kemdikbud.go.id
Instansi Pusat,Kementerian,Kementerian,Kementerian Kesehatan,ada,kemkes_splp,kemkes.go.id
Instansi Pusat,Kementerian,Kementerian,Kementerian Sosial,ada,kemensos_splp,kemensos.go.id
Instansi Pusat,Kementerian,Kementerian,Kementerian Ketenagakerjaan,ada,pusdatin_kemnaker,kemnaker.go.id
Instansi Pusat,Kementerian,Kementerian,Kementerian Perindustrian,ada,kemenperin_splp,kemenperin.go.id
Instansi Pusat,Kementerian,Kementerian,Kementerian Perdagangan,ada,pdsi_kemendag,kemendag.go.id
Instansi Pusat,Kementerian,Kementerian,Kementerian Energi dan Sumber Daya Mineral,ada,pusdatin_esdm,esdm.go.id
Instansi Pusat,Kementerian,Kementerian,Kementerian Pekerjaan Umum dan Perumahan Rakyat,ada,pusdatin_kemenpupr,pu.go.id
Instansi Pusat,Kementerian,Kementerian,Kementerian Perhubungan,ada,dephub_splp,dephub.go.id
Instansi Pusat,Kementerian,Kementerian,Kementerian Komunikasi dan Informatika,ada,kominfo_splp,kominfo.go.id
Instansi Pusat,Kementerian,Kementerian,Kementerian Pertanian,ada,pertanian_splp,pertanian.go.id
Instansi Pusat,Kementerian,Kementerian,Kementerian Lingkungan Hidup dan Kehutanan,ada,pusdatin_menlhk,menlhk.go.id
Instansi Pusat,Kementerian,Kementerian,Kementerian Kelautan dan Perikanan,ada,kkp_splp,kkp.go.id
